model,variable,mistag,threshold,bin_low,bin_high,bin_center,n_signal,signal_efficiency
Diffusion v2 z-mid-high,Lxy_prod_median,0.01,2.1035176491737357,0.7142664194107056,0.7398232817649841,0.7270448505878448,11801,0.22362511651554953
Diffusion v2 z-mid-high,Lxy_prod_q90,0.01,2.1035176491737357,0.6732196807861328,0.6999125480651855,0.6865661144256592,11799,0.22730739893211288
Diffusion v2 z-mid-high,Lxy_prod_q90,0.01,2.1035176491737357,0.6999125480651855,0.7049158215522766,0.7024141848087311,11800,0.21923728813559323
Diffusion v2 z-mid-high,Lxy_prod_q90,0.01,2.1035176491737357,0.7049158215522766,0.709228789806366,0.7070723056793213,11801,0.22574358105245318
Diffusion v2 z-mid-high,Lxy_prod_q90,0.01,2.1035176491737357,0.709228789806366,0.7142664194107056,0.7117476046085358,11799,0.22612085769980506
Diffusion v2 z-mid-high,Lxy_prod_q90,0.01,2.1035176491737357,0.7142664194107056,0.7398232817649841,0.7270448505878448,11801,0.22362511651554953
Diffusion v2 z-mid-high,n_truth_dark_pions,0.01,2.1035176491737357,0.0,3.0,1.5,10501,0.22864489096276544
Diffusion v2 z-mid-high,n_truth_dark_pions,0.01,2.1035176491737357,3.0,4.0,3.5,10297,0.20287462367679907
Diffusion v2 z-mid-high,n_truth_dark_pions,0.01,2.1035176491737357,4.0,5.0,4.5,10862,0.20603940342478366
Diffusion v2 z-mid-high,n_truth_dark_pions,0.01,2.1035176491737357,5.0,6.0,5.5,9488,0.2144814502529511
Diffusion v2 z-mid-high,n_truth_dark_pions,0.01,2.1035176491737357,6.0,19.0,12.5,18495,0.2533117058664504
